country_name,country_code,indicator_status,year,financial_normalized_final,financial_rank
"St. Lucia",LCA,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.41824488,34
Jordan,JOR,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.41697599,35
Grenada,GRD,"Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.41290901,36
"IBRD only",IBD,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.41196510,37
"Middle income",MIC,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.41123862,38
"Bosnia and Herzegovina",BIH,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.41103847,39
"Low & middle income",LMY,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.40971471,40
"Other small states",OSS,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.40729156,41
Malta,MLT,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.40581294,42
Bulgaria,BGR,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.40411918,43
"IDA & IBRD total",IBT,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.40400629,44
"Europe & Central Asia",ECS,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.40343565,45
France,FRA,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.40269002,46
Finland,FIN,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.40145421,47
Czechia,CZE,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.40140303,48
Luxembourg,LUX,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.40083812,49
"North Macedonia",MKD,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.40020795,50
"Costa Rica",CRI,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.39826468,51
"European Union",EUU,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.39740045,52
Ireland,IRL,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.39580401,53
Honduras,HND,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.39354373,54
Montenegro,MNE,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.39347046,55
Bangladesh,BGD,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.39302979,56
Austria,AUT,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.39091229,57
Georgia,GEO,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.39036879,58
"St. Vincent and the Grenadines",VCT,"Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.38899871,59
"Antigua and Barbuda",ATG,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost",2015,0.38751960,60
Qatar,QAT,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.38732431,61
Colombia,COL,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.38480284,62
Belize,BLZ,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.38307095,63
Hungary,HUN,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.38207655,64
Nicaragua,NIC,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.38077117,65
Dominica,DMA,"Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.38016173,66
"Small states",SST,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.37938097,67
Indonesia,IDN,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.37827596,68
Mozambique,MOZ,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.37646321,69
Armenia,ARM,"Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.37524560,70
Mexico,MEX,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.37263894,71
Albania,ALB,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.37224527,72
Turkiye,TUR,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.37052716,73
Romania,ROU,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost",2015,0.36987584,74
Maldives,MDV,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.36976716,75
Guatemala,GTM,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost",2015,0.36966523,76
"Pacific island small states",PSS,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.36802549,77
Brazil,BRA,"Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.36645531,78
Estonia,EST,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.36633765,79
Guyana,GUY,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.36629493,80
"Egypt, Arab Rep.",EGY,"Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.36564458,81
"Dominican Republic",DOM,"Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.36227153,82
Croatia,HRV,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.36104468,83
Cambodia,KHM,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.36088575,84
Jamaica,JAM,"GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.36031959,85
Moldova,MDA,"Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak | Inflation: Price Stable",2015,0.35778738,86
Botswana,BWA,"GDP: Weak Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.35771912,87
Lesotho,LSO,"Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.35559372,88
Belgium,BEL,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.35533805,89
Uruguay,URY,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.35448909,90
Rwanda,RWA,"Interest Rate: High Cost | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.35341775,91
Nepal,NPL,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.35287170,92
"Slovak Republic",SVK,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.35233450,93
Poland,POL,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.35218603,94
Tunisia,TUN,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.35176888,95
"Europe & Central Asia (excluding high income)",ECA,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.34993340,96
Bolivia,BOL,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.34867691,97
Uzbekistan,UZB,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.34862646,98
"El Salvador",SLV,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.34853554,99
"Brunei Darussalam",BRN,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.34853512,100
Latvia,LVA,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.34561094,101
"Trinidad and Tobago",TTO,"Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.34491797,102
"Central Europe and the Baltics",CEB,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.34334784,103
Slovenia,SVN,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.34315648,104
Timor-Leste,TLS,"Interest Rate: High Cost | Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.34157446,105
Algeria,DZA,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.34064885,106
Philippines,PHL,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.33715852,107
"Latin America & Caribbean",LCN,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.33486257,108
"Latin America & the Caribbean (IDA & IBRD countries)",TLA,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.33431347,109
Paraguay,PRY,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.33323445,110
Kosovo,XKX,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.33296623,111
Seychelles,SYC,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy",2015,0.33184290,112
Lithuania,LTU,"Inflation: Price Stable | Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.33179212,113
Namibia,NAM,"GDP: Growing Economy | Interest Rate: High Cost | Inflation: Price Stable",2015,0.33113997,114
"Bahamas, The",BHS,"Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy",2015,0.33097839,115
Angola,AGO,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable | Interest Rate: High Cost",2015,0.32949383,116
"Latin America & Caribbean (excluding high income)",LAC,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.32946878,117
Switzerland,CHE,"GDP: Growing Economy | Interest Rate: High Cost | Inflation: Price Stable",2015,0.32831144,118
"Caribbean small states",CSS,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.32762261,119
"South Africa",ZAF,"GDP: Growing Economy | Inflation: Price Stable | Interest Rate: High Cost",2015,0.32579978,120
Serbia,SRB,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.32397849,121
"Cabo Verde",CPV,"Interest Rate: High Cost | Inflation: Price Stable | GDP: Growing Economy",2015,0.32067464,122
"West Bank and Gaza",PSE,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.32050778,123
Kazakhstan,KAZ,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.31989430,124
Senegal,SEN,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.31966845,125
Togo,TGO,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.31929687,126
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.31886984,127
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.31866439,128
"Solomon Islands",SLB,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.31713151,129
Djibouti,DJI,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.31433707,130
Belarus,BLR,"GDP: Weak Economy | Inflation: Price Stable | Interest Rate: High Cost",2015,0.31269209,131
"Burkina Faso",BFA,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.31059844,132
Mali,MLI,"Inflation: Price Stable | GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.31002555,133
Ecuador,ECU,"Inflation: Price Stable | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.30746542,134
"Cote d'Ivoire",CIV,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.30627361,135
Malawi,MWI,"GDP: Growing Economy | Interest Rate: High Cost | Inflation: Price Stable",2015,0.30255394,136
Ukraine,UKR,"Inflation: Price Stable | Interest Rate: Normal Cost | GDP: Weak Economy",2015,0.30223361,137
Tanzania,TZA,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.29923319,138
"Sierra Leone",SLE,"Interest Rate: High Cost | Inflation: Price Stable | GDP: Weak Economy",2015,0.29899617,139
Kiribati,KIR,"GDP: Growing Economy | Inflation: Price Stable",2015,0.29696400,140
Uganda,UGA,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.29580713,141
Azerbaijan,AZE,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy",2015,0.29535790,142
Pakistan,PAK,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.29488855,143
Benin,BEN,"Private Credit: Weak | GDP: Growing Economy | Inflation: Price Stable | Private Credit: Weak",2015,0.29415491,144
Niger,NER,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.29279637,145
Ethiopia,ETH,"GDP: Growing Economy | Inflation: Price Stable",2015,0.29148744,146
Guinea-Bissau,GNB,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak | Inflation: Price Stable",2015,0.29111965,147
Libya,LBY,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable",2015,0.29093236,148
India,IND,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28774153,149
"Lao PDR",LAO,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28744111,150
"South Asia",SAS,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28709337,151
"South Asia (IDA & IBRD)",TSA,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28709337,151
"Viet Nam",VNM,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28704205,153
Iraq,IRQ,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.28596933,154
"United Arab Emirates",ARE,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28595801,155
"Papua New Guinea",PNG,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28404050,156
"Lower middle income",LMC,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28353875,157
Panama,PAN,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28325130,158
Cameroon,CMR,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28320525,159
Oman,OMN,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28269985,160
Haiti,HTI,"GDP: Growing Economy | Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak",2015,0.28238196,161
Mauritania,MRT,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28231657,162
Vanuatu,VUT,"Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.28168730,163
"Saudi Arabia",SAU,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28142751,164
"Heavily indebted poor countries (HIPC)",HPC,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28111482,165
"Macao SAR, China",MAC,"Private Credit: Weak | GDP: Weak Economy | Private Credit: Weak | Interest Rate: High Cost",2015,0.28062394,166
"Central African Republic",CAF,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28061857,167
Morocco,MAR,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28055740,168
Kuwait,KWT,"Inflation: Price Stable | Interest Rate: High Cost | GDP: Growing Economy",2015,0.28034363,169
Gabon,GAB,"GDP: Growing Economy | Inflation: Price Stable",2015,0.28021997,170
Kenya,KEN,"Inflation: Price Stable | GDP: Growing Economy",2015,0.28009504,171
"Early-demographic dividend",EAR,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27972580,172
"New Zealand",NZL,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27953964,173
"IDA blend",IDB,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27947362,174
"Sri Lanka",LKA,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27941171,175
Singapore,SGP,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27820723,176
"Arab World",ARB,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27816444,177
"Gambia, The",GMB,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27790241,178
"IDA total",IDA,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27784092,179
Peru,PER,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27733284,180
"Africa Western and Central",AFW,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27707833,181
Chad,TCD,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27707377,182
"Pre-demographic dividend",PRE,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27690450,183
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27687651,184
"IDA only",IDX,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27680089,185
"Sub-Saharan Africa",SSF,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27656597,186
"Sub-Saharan Africa (IDA & IBRD countries)",TSS,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27656597,186
Israel,ISR,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27653395,188
Bahrain,BHR,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27621399,189
"Least developed countries: UN classification",LDC,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27617642,190
"Sub-Saharan Africa (excluding high income)",SSA,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27599885,191
"Africa Eastern and Southern",AFE,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27594272,192
Guinea,GIN,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27547012,193
Germany,DEU,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27476043,194
Mongolia,MNG,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27442594,195
Zambia,ZMB,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27400396,196
Comoros,COM,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27382176,197
Nigeria,NGA,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27380009,198
"Europe & Central Asia (IDA & IBRD countries)",TEC,"Inflation: Price Stable | GDP: Growing Economy",2015,0.27294374,199
"Sao Tome and Principe",STP,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27267050,200
Canada,CAN,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27218739,201
"Congo, Rep.",COG,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27087542,202
"Fragile and conflict affected situations",FCS,"GDP: Growing Economy | Inflation: Price Stable",2015,0.27048456,203
Ghana,GHA,"GDP: Growing Economy | Inflation: Price Stable",2015,0.26946187,204
Liberia,LBR,"Inflation: Price Stable | GDP: Growing Economy",2015,0.26810655,205
Burundi,BDI,"Inflation: Price Stable | GDP: Growing Economy",2015,0.26807268,206
"Low income",LIC,"Inflation: Price Stable | GDP: Growing Economy",2015,0.26467689,207
"Iran, Islamic Rep.",IRN,"GDP: Growing Economy | Inflation: Price Stable",2015,0.26305999,208
"Russian Federation",RUS,"Inflation: Price Stable | GDP: Growing Economy",2015,0.26062173,209
"Euro area",EMU,"GDP: Growing Economy | Private Credit: Weak | Private Credit: Weak",2015,0.25152043,210
"Equatorial Guinea",GNQ,"GDP: Weak Economy | Inflation: Price Stable",2015,0.24940366,211
"St. Kitts and Nevis",KNA,"Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak | Interest Rate: High Cost",2015,0.24516742,212
Tonga,TON,"Inflation: Price Stable | Interest Rate: High Cost | Private Credit: Weak | Private Credit: Weak",2015,0.24335926,213
Bhutan,BTN,"Private Credit: Weak | Inflation: Price Stable | Private Credit: Weak | Interest Rate: High Cost",2015,0.24312950,214
Suriname,SUR,"Private Credit: Weak | Private Credit: Weak | Interest Rate: High Cost",2015,0.20977915,215
Eswatini,SWZ,"Private Credit: Weak | GDP: Growing Economy | Interest Rate: High Cost | Private Credit: Weak",2015,0.20864608,216
"Kyrgyz Republic",KGZ,"Interest Rate: High Cost | Private Credit: Weak | GDP: Growing Economy | Private Credit: Weak",2015,0.19684882,217
Argentina,ARG,"GDP: Growing Economy",2015,0.19141701,218
"South Sudan",SSD,"Interest Rate: Normal Cost | Inflation: Price Stable",2015,0.18679493,219
"Turks and Caicos Islands",TCA,"GDP: Growing Economy",2015,0.15197749,220
"Somalia, Fed. Rep.",SOM,"GDP: Growing Economy",2015,0.15001156,221
Lebanon,LBN,"Inflation: Price Stable",2015,0.14673082,222
Madagascar,MDG,"Private Credit: Weak | Private Credit: Weak | GDP: Growing Economy",2015,0.14582761,223
Afghanistan,AFG,"Inflation: Price Stable",2015,0.14554932,224
"San Marino",SMR,"Inflation: Price Stable",2015,0.14523961,225
Palau,PLW,"Inflation: Price Stable",2015,0.14493372,226
Myanmar,MMR,"GDP: Growing Economy",2015,0.14198597,227
