country_name,country_code,year,financial_normalized_final,year_change,result
"Antigua and Barbuda",ATG,2019,0.38079701,-0.00833704,"Economy Declined"
"Antigua and Barbuda",ATG,2020,0.34794632,-0.03285069,"Economy Declined"
"Antigua and Barbuda",ATG,2021,0.40353939,0.05559307,"Economy Improved"
"Antigua and Barbuda",ATG,2022,0.39561380,-0.00792559,"Economy Declined"
"Antigua and Barbuda",ATG,2023,0.37942785,-0.01618595,"Economy Declined"
"Antigua and Barbuda",ATG,2024,0.38426644,0.00483859,"Economy Improved"
Australia,AUS,2015,0.46215987,NULL,"First Year (No Previous Data)"
Australia,AUS,2016,0.47250501,0.01034514,"Economy Improved"
Australia,AUS,2017,0.46836016,-0.00414485,"Economy Declined"
Australia,AUS,2018,0.46885811,0.00049795,"Economy Improved"
Australia,AUS,2019,0.46200799,-0.00685012,"Economy Declined"
Australia,AUS,2020,0.46542214,0.00341415,"Economy Improved"
Australia,AUS,2021,0.46487271,-0.00054943,"Economy Declined"
Australia,AUS,2022,0.46201037,-0.00286234,"Economy Declined"
Australia,AUS,2023,0.45143482,-0.01057555,"Economy Declined"
Australia,AUS,2024,0.45057891,-0.00085591,"Economy Declined"
Austria,AUT,2015,0.39091229,NULL,"First Year (No Previous Data)"
Austria,AUT,2016,0.38880026,-0.00211203,"Economy Declined"
Austria,AUT,2017,0.39031122,0.00151096,"Economy Improved"
Austria,AUT,2018,0.39099645,0.00068523,"Economy Improved"
Austria,AUT,2019,0.39151509,0.00051864,"Economy Improved"
Austria,AUT,2020,0.38241075,-0.00910434,"Economy Declined"
Austria,AUT,2021,0.40788980,0.02547905,"Economy Improved"
Austria,AUT,2022,0.40116555,-0.00672425,"Economy Declined"
Austria,AUT,2023,0.38014194,-0.02102361,"Economy Declined"
Austria,AUT,2024,0.37902440,-0.00111754,"Economy Declined"
Azerbaijan,AZE,2015,0.29535790,NULL,"First Year (No Previous Data)"
Azerbaijan,AZE,2016,0.31519909,0.01984119,"Economy Improved"
Azerbaijan,AZE,2017,0.32391931,0.00872022,"Economy Improved"
Azerbaijan,AZE,2018,0.32586288,0.00194357,"Economy Improved"
Azerbaijan,AZE,2019,0.31271156,-0.01315132,"Economy Declined"
Azerbaijan,AZE,2020,0.28634221,-0.02636935,"Economy Declined"
Azerbaijan,AZE,2021,0.34435320,0.05801099,"Economy Improved"
Azerbaijan,AZE,2022,0.35409338,0.00974018,"Economy Improved"
Azerbaijan,AZE,2023,0.29805073,-0.05604265,"Economy Declined"
Azerbaijan,AZE,2024,0.31800530,0.01995457,"Economy Improved"
Burundi,BDI,2015,0.26807268,NULL,"First Year (No Previous Data)"
Burundi,BDI,2016,0.27639130,0.00831862,"Economy Improved"
Burundi,BDI,2017,0.27383744,-0.00255386,"Economy Declined"
Burundi,BDI,2018,0.28454116,0.01070372,"Economy Improved"
Burundi,BDI,2019,0.28169525,-0.00284591,"Economy Declined"
Burundi,BDI,2020,0.26903421,-0.01266104,"Economy Declined"
Burundi,BDI,2021,0.27539791,0.00636370,"Economy Improved"
Burundi,BDI,2022,0.26929354,-0.00610437,"Economy Declined"
Burundi,BDI,2023,0.26833208,-0.00096146,"Economy Declined"
Burundi,BDI,2024,0.27289442,0.00456234,"Economy Improved"
Belgium,BEL,2015,0.35533805,NULL,"First Year (No Previous Data)"
Belgium,BEL,2016,0.35812148,0.00278343,"Economy Improved"
Belgium,BEL,2017,0.36112941,0.00300793,"Economy Improved"
Belgium,BEL,2018,0.36609250,0.00496309,"Economy Improved"
Belgium,BEL,2019,0.36929629,0.00320379,"Economy Improved"
Belgium,BEL,2020,0.36237321,-0.00692308,"Economy Declined"
Belgium,BEL,2021,0.38531424,0.02294103,"Economy Improved"
Belgium,BEL,2022,0.37425322,-0.01106102,"Economy Declined"
Belgium,BEL,2023,0.36649732,-0.00775590,"Economy Declined"
Belgium,BEL,2024,0.36370377,-0.00279355,"Economy Declined"
Benin,BEN,2015,0.29415491,NULL,"First Year (No Previous Data)"
Benin,BEN,2016,0.29919096,0.00503605,"Economy Improved"
Benin,BEN,2017,0.30299547,0.00380451,"Economy Improved"
Benin,BEN,2018,0.30528057,0.00228510,"Economy Improved"
Benin,BEN,2019,0.30695716,0.00167659,"Economy Improved"
Benin,BEN,2020,0.29618248,-0.01077468,"Economy Declined"
Benin,BEN,2021,0.30440166,0.00821918,"Economy Improved"
Benin,BEN,2022,0.30456812,0.00016646,"Economy Improved"
Benin,BEN,2023,0.30639379,0.00182567,"Economy Improved"
Benin,BEN,2024,0.31006296,0.00366917,"Economy Improved"
"Burkina Faso",BFA,2015,0.31059844,NULL,"First Year (No Previous Data)"
"Burkina Faso",BFA,2016,0.31650777,0.00590933,"Economy Improved"
"Burkina Faso",BFA,2017,0.31893184,0.00242407,"Economy Improved"
"Burkina Faso",BFA,2018,0.31929333,0.00036149,"Economy Improved"
"Burkina Faso",BFA,2019,0.32132508,0.00203175,"Economy Improved"
"Burkina Faso",BFA,2020,0.31084787,-0.01047721,"Economy Declined"
"Burkina Faso",BFA,2021,0.32271381,0.01186594,"Economy Improved"
"Burkina Faso",BFA,2022,0.30941930,-0.01329451,"Economy Declined"
"Burkina Faso",BFA,2023,0.31813494,0.00871564,"Economy Improved"
"Burkina Faso",BFA,2024,0.31429161,-0.00384333,"Economy Declined"
Bangladesh,BGD,2015,0.39302979,NULL,"First Year (No Previous Data)"
Bangladesh,BGD,2016,0.40806221,0.01503242,"Economy Improved"
Bangladesh,BGD,2017,0.38919790,-0.01886431,"Economy Declined"
Bangladesh,BGD,2018,0.39111540,0.00191750,"Economy Improved"
Bangladesh,BGD,2019,0.38854688,-0.00256852,"Economy Declined"
Bangladesh,BGD,2020,0.38011134,-0.00843554,"Economy Declined"
Bangladesh,BGD,2021,0.38956366,0.00945232,"Economy Improved"
Bangladesh,BGD,2022,0.39026329,0.00069963,"Economy Improved"
Bangladesh,BGD,2023,0.38611263,-0.00415066,"Economy Declined"
Bangladesh,BGD,2024,0.37714472,-0.00896791,"Economy Declined"
Bulgaria,BGR,2015,0.40411918,NULL,"First Year (No Previous Data)"
Bulgaria,BGR,2016,0.40129692,-0.00282226,"Economy Declined"
Bulgaria,BGR,2017,0.39924997,-0.00204695,"Economy Declined"
Bulgaria,BGR,2018,0.39891464,-0.00033533,"Economy Declined"
Bulgaria,BGR,2019,0.40284655,0.00393191,"Economy Improved"
Bulgaria,BGR,2020,0.38863704,-0.01420951,"Economy Declined"
Bulgaria,BGR,2021,0.41208066,0.02344362,"Economy Improved"
Bulgaria,BGR,2022,0.40332021,-0.00876045,"Economy Declined"
Bulgaria,BGR,2023,0.39228612,-0.01103409,"Economy Declined"
Bulgaria,BGR,2024,0.40033059,0.00804447,"Economy Improved"
Bahrain,BHR,2015,0.27621399,NULL,"First Year (No Previous Data)"
Bahrain,BHR,2016,0.27886128,0.00264729,"Economy Improved"
Bahrain,BHR,2017,0.28203324,0.00317196,"Economy Improved"
Bahrain,BHR,2018,0.27505831,-0.00697493,"Economy Declined"
Bahrain,BHR,2019,0.27547126,0.00041295,"Economy Improved"
Bahrain,BHR,2020,0.25833422,-0.01713704,"Economy Declined"
Bahrain,BHR,2021,0.28141025,0.02307603,"Economy Improved"
Bahrain,BHR,2022,0.28402156,0.00261131,"Economy Improved"
Bahrain,BHR,2023,0.28006320,-0.00395836,"Economy Declined"
Bahrain,BHR,2024,0.27677774,-0.00328546,"Economy Declined"
"Bahamas, The",BHS,2015,0.33097839,NULL,"First Year (No Previous Data)"
"Bahamas, The",BHS,2016,0.32253276,-0.00844563,"Economy Declined"
"Bahamas, The",BHS,2017,0.33265188,0.01011912,"Economy Improved"
"Bahamas, The",BHS,2018,0.32918176,-0.00347012,"Economy Declined"
"Bahamas, The",BHS,2019,0.32617253,-0.00300923,"Economy Declined"
"Bahamas, The",BHS,2020,0.27435405,-0.05181848,"Economy Declined"
"Bahamas, The",BHS,2021,0.36182452,0.08747047,"Economy Improved"
"Bahamas, The",BHS,2022,0.35171737,-0.01010715,"Economy Declined"
"Bahamas, The",BHS,2023,0.33739433,-0.01432304,"Economy Declined"
"Bahamas, The",BHS,2024,0.33180263,-0.00559170,"Economy Declined"
"Bosnia and Herzegovina",BIH,2015,0.41103847,NULL,"First Year (No Previous Data)"
"Bosnia and Herzegovina",BIH,2016,0.40828436,-0.00275411,"Economy Declined"
"Bosnia and Herzegovina",BIH,2017,0.40939801,0.00111365,"Economy Improved"
"Bosnia and Herzegovina",BIH,2018,0.41121026,0.00181225,"Economy Improved"
"Bosnia and Herzegovina",BIH,2019,0.41029716,-0.00091310,"Economy Declined"
"Bosnia and Herzegovina",BIH,2020,0.39529248,-0.01500468,"Economy Declined"
"Bosnia and Herzegovina",BIH,2021,0.41763817,0.02234569,"Economy Improved"
"Bosnia and Herzegovina",BIH,2022,0.40541473,-0.01222344,"Economy Declined"
"Bosnia and Herzegovina",BIH,2023,0.39671572,-0.00869901,"Economy Declined"
"Bosnia and Herzegovina",BIH,2024,0.39810317,0.00138745,"Economy Improved"
Belarus,BLR,2015,0.31269209,NULL,"First Year (No Previous Data)"
Belarus,BLR,2016,0.31181215,-0.00087994,"Economy Declined"
Belarus,BLR,2017,0.33125700,0.01944485,"Economy Improved"
Belarus,BLR,2018,0.33791719,0.00666019,"Economy Improved"
Belarus,BLR,2019,0.32956599,-0.00835120,"Economy Declined"
Belarus,BLR,2020,0.32819154,-0.00137445,"Economy Declined"
Belarus,BLR,2021,0.33624512,0.00805358,"Economy Improved"
Belarus,BLR,2022,0.31449634,-0.02174878,"Economy Declined"
Belarus,BLR,2023,0.33437583,0.01987949,"Economy Improved"
Belarus,BLR,2024,0.33455764,0.00018181,"Economy Improved"
Belize,BLZ,2015,0.38307095,NULL,"First Year (No Previous Data)"
Belize,BLZ,2016,0.37799826,-0.00507269,"Economy Declined"
Belize,BLZ,2017,0.37471204,-0.00328622,"Economy Declined"
Belize,BLZ,2018,0.37912434,0.00441230,"Economy Improved"
Belize,BLZ,2019,0.38786721,0.00874287,"Economy Improved"
Belize,BLZ,2020,0.35936128,-0.02850593,"Economy Declined"
Belize,BLZ,2021,0.42234015,0.06297887,"Economy Improved"
Belize,BLZ,2022,0.40172417,-0.02061598,"Economy Declined"
Belize,BLZ,2023,0.38100478,-0.02071939,"Economy Declined"
Belize,BLZ,2024,0.38100034,-0.00000444,"Economy Declined"
Bermuda,BMU,2015,0.12762316,NULL,"First Year (No Previous Data)"
Bermuda,BMU,2016,0.12429265,-0.00333051,"Economy Declined"
Bermuda,BMU,2017,0.13416853,0.00987588,"Economy Improved"
Bermuda,BMU,2018,0.12482461,-0.00934392,"Economy Declined"
Bermuda,BMU,2019,0.12653612,0.00171151,"Economy Improved"
Bermuda,BMU,2020,0.11002236,-0.01651376,"Economy Declined"
Bermuda,BMU,2021,0.13648138,0.02645902,"Economy Improved"
Bermuda,BMU,2022,0.14080641,0.00432503,"Economy Improved"
Bermuda,BMU,2023,0.13719837,-0.00360804,"Economy Declined"
Bermuda,BMU,2024,0.13962686,0.00242849,"Economy Improved"
Bolivia,BOL,2015,0.34867691,NULL,"First Year (No Previous Data)"
Bolivia,BOL,2016,0.35584826,0.00717135,"Economy Improved"
Bolivia,BOL,2017,0.34258443,-0.01326383,"Economy Declined"
Bolivia,BOL,2018,0.34570202,0.00311759,"Economy Improved"
Bolivia,BOL,2019,0.34662072,0.00091870,"Economy Improved"
Bolivia,BOL,2020,0.33448095,-0.01213977,"Economy Declined"
Bolivia,BOL,2021,0.37795334,0.04347239,"Economy Improved"
Bolivia,BOL,2022,0.36318324,-0.01477010,"Economy Declined"
Bolivia,BOL,2023,0.35617762,-0.00700562,"Economy Declined"
Bolivia,BOL,2024,0.34541560,-0.01076202,"Economy Declined"
Brazil,BRA,2015,0.36645531,NULL,"First Year (No Previous Data)"
Brazil,BRA,2016,0.35248484,-0.01397047,"Economy Declined"
Brazil,BRA,2017,0.36012973,0.00764489,"Economy Improved"
Brazil,BRA,2018,0.37239866,0.01226893,"Economy Improved"
Brazil,BRA,2019,0.37612255,0.00372389,"Economy Improved"
Brazil,BRA,2020,0.38696399,0.01084144,"Economy Improved"
Brazil,BRA,2021,0.41113234,0.02416835,"Economy Improved"
Brazil,BRA,2022,0.39333704,-0.01779530,"Economy Declined"
Brazil,BRA,2023,0.38660460,-0.00673244,"Economy Declined"
Brazil,BRA,2024,0.39566199,0.00905739,"Economy Improved"
Barbados,BRB,2015,0.12311310,NULL,"First Year (No Previous Data)"
Barbados,BRB,2016,0.12928841,0.00617531,"Economy Improved"
Barbados,BRB,2017,0.12746126,-0.00182715,"Economy Declined"
Barbados,BRB,2018,0.12285868,-0.00460258,"Economy Declined"
Barbados,BRB,2019,0.12635109,0.00349241,"Economy Improved"
Barbados,BRB,2020,0.09260658,-0.03374451,"Economy Declined"
Barbados,BRB,2021,0.12558785,0.03298127,"Economy Improved"
Barbados,BRB,2022,0.16566957,0.04008172,"Economy Improved"
Barbados,BRB,2023,0.13254953,-0.03312004,"Economy Declined"
Barbados,BRB,2024,0.13155501,-0.00099452,"Economy Declined"
"Brunei Darussalam",BRN,2015,0.34853512,NULL,"First Year (No Previous Data)"
"Brunei Darussalam",BRN,2016,0.36180511,0.01326999,"Economy Improved"
"Brunei Darussalam",BRN,2017,0.38277311,0.02096800,"Economy Improved"
"Brunei Darussalam",BRN,2018,0.37737803,-0.00539508,"Economy Declined"
"Brunei Darussalam",BRN,2019,0.37278024,-0.00459779,"Economy Declined"
"Brunei Darussalam",BRN,2020,0.36018617,-0.01259407,"Economy Declined"
"Brunei Darussalam",BRN,2021,0.38127121,0.02108504,"Economy Improved"
"Brunei Darussalam",BRN,2022,0.38147579,0.00020458,"Economy Improved"
"Brunei Darussalam",BRN,2023,0.35391545,-0.02756034,"Economy Declined"
"Brunei Darussalam",BRN,2024,0.37666661,0.02275116,"Economy Improved"
Bhutan,BTN,2015,0.24312950,NULL,"First Year (No Previous Data)"
Bhutan,BTN,2016,0.24780606,0.00467656,"Economy Improved"
Bhutan,BTN,2017,0.25328732,0.00548126,"Economy Improved"
Bhutan,BTN,2018,0.25953219,0.00624487,"Economy Improved"
Bhutan,BTN,2019,0.26843787,0.00890568,"Economy Improved"
Bhutan,BTN,2020,0.28155785,0.01311998,"Economy Improved"
Bhutan,BTN,2021,0.28014606,-0.00141179,"Economy Declined"
Bhutan,BTN,2022,0.28262320,0.00247714,"Economy Improved"
Bhutan,BTN,2023,0.28846201,0.00583881,"Economy Improved"
Bhutan,BTN,2024,0.26379884,-0.02466317,"Economy Declined"
Botswana,BWA,2015,0.35771912,NULL,"First Year (No Previous Data)"
Botswana,BWA,2016,0.39078246,0.03306334,"Economy Improved"
Botswana,BWA,2017,0.36868135,-0.02210111,"Economy Declined"
Botswana,BWA,2018,0.37397901,0.00529766,"Economy Improved"
Botswana,BWA,2019,0.37385528,-0.00012373,"Economy Declined"
Botswana,BWA,2020,0.35774162,-0.01611366,"Economy Declined"
Botswana,BWA,2021,0.40113236,0.04339074,"Economy Improved"
Botswana,BWA,2022,0.38340006,-0.01773230,"Economy Declined"
Botswana,BWA,2023,0.36624421,-0.01715585,"Economy Declined"
Botswana,BWA,2024,0.35862566,-0.00761855,"Economy Declined"
"Central African Republic",CAF,2015,0.28061857,NULL,"First Year (No Previous Data)"
"Central African Republic",CAF,2016,0.28020946,-0.00040911,"Economy Declined"
"Central African Republic",CAF,2017,0.27999505,-0.00021441,"Economy Declined"
"Central African Republic",CAF,2018,0.27926621,-0.00072884,"Economy Declined"
"Central African Republic",CAF,2019,0.27725739,-0.00200882,"Economy Declined"
"Central African Republic",CAF,2020,0.27254383,-0.00471356,"Economy Declined"
"Central African Republic",CAF,2021,0.27175384,-0.00078999,"Economy Declined"
"Central African Republic",CAF,2022,0.27002331,-0.00173053,"Economy Declined"
"Central African Republic",CAF,2023,0.27159566,0.00157235,"Economy Improved"
"Central African Republic",CAF,2024,0.27401949,0.00242383,"Economy Improved"
Canada,CAN,2015,0.27218739,NULL,"First Year (No Previous Data)"
Canada,CAN,2016,0.27297469,0.00078730,"Economy Improved"
Canada,CAN,2017,0.27751227,0.00453758,"Economy Improved"
Canada,CAN,2018,0.27658536,-0.00092691,"Economy Declined"
Canada,CAN,2019,0.27478805,-0.00179731,"Economy Declined"
Canada,CAN,2020,0.25918403,-0.01560402,"Economy Declined"
Canada,CAN,2021,0.28357754,0.02439351,"Economy Improved"
Canada,CAN,2022,0.27820690,-0.00537064,"Economy Declined"
Canada,CAN,2023,0.27317121,-0.00503569,"Economy Declined"
Canada,CAN,2024,0.27379100,0.00061979,"Economy Improved"
"Central Europe and the Baltics",CEB,2015,0.34334784,NULL,"First Year (No Previous Data)"
"Central Europe and the Baltics",CEB,2016,0.34048102,-0.00286682,"Economy Declined"
"Central Europe and the Baltics",CEB,2017,0.34280397,0.00232295,"Economy Improved"
"Central Europe and the Baltics",CEB,2018,0.34160016,-0.00120381,"Economy Declined"
"Central Europe and the Baltics",CEB,2019,0.33785991,-0.00374025,"Economy Declined"
"Central Europe and the Baltics",CEB,2020,0.32293244,-0.01492747,"Economy Declined"
"Central Europe and the Baltics",CEB,2021,0.34260760,0.01967516,"Economy Improved"
"Central Europe and the Baltics",CEB,2022,0.32765425,-0.01495335,"Economy Declined"
"Central Europe and the Baltics",CEB,2023,0.31750859,-0.01014566,"Economy Declined"
"Central Europe and the Baltics",CEB,2024,0.32234945,0.00484086,"Economy Improved"
Switzerland,CHE,2015,0.32831144,NULL,"First Year (No Previous Data)"
Switzerland,CHE,2016,0.32992678,0.00161534,"Economy Improved"
Switzerland,CHE,2017,0.32820312,-0.00172366,"Economy Declined"
Switzerland,CHE,2018,0.33289571,0.00469259,"Economy Improved"
Switzerland,CHE,2019,0.32808052,-0.00481519,"Economy Declined"
Switzerland,CHE,2020,0.32017351,-0.00790701,"Economy Declined"
Switzerland,CHE,2021,0.33993241,0.01975890,"Economy Improved"
Switzerland,CHE,2022,0.33523861,-0.00469380,"Economy Declined"
Switzerland,CHE,2023,0.32727589,-0.00796272,"Economy Declined"
Switzerland,CHE,2024,0.32945593,0.00218004,"Economy Improved"
Chile,CHL,2015,0.42489710,NULL,"First Year (No Previous Data)"
Chile,CHL,2016,0.42586143,0.00096433,"Economy Improved"
Chile,CHL,2017,0.42877085,0.00290942,"Economy Improved"
Chile,CHL,2018,0.44124827,0.01247742,"Economy Improved"
Chile,CHL,2019,0.44284594,0.00159767,"Economy Improved"
Chile,CHL,2020,0.42595876,-0.01688718,"Economy Declined"
Chile,CHL,2021,0.44489153,0.01893277,"Economy Improved"
Chile,CHL,2022,0.42562933,-0.01926220,"Economy Declined"
Chile,CHL,2023,0.41900517,-0.00662416,"Economy Declined"
Chile,CHL,2024,0.41657464,-0.00243053,"Economy Declined"
China,CHN,2015,0.54552175,NULL,"First Year (No Previous Data)"
China,CHN,2016,0.55149884,0.00597709,"Economy Improved"
China,CHN,2017,0.55349035,0.00199151,"Economy Improved"
China,CHN,2018,0.55631561,0.00282526,"Economy Improved"
China,CHN,2019,0.56200920,0.00569359,"Economy Improved"
China,CHN,2020,0.57639270,0.01438350,"Economy Improved"
China,CHN,2021,0.58820248,0.01180978,"Economy Improved"
China,CHN,2022,0.58388035,-0.00432213,"Economy Declined"
China,CHN,2023,0.59784219,0.01396184,"Economy Improved"
China,CHN,2024,0.60302147,0.00517928,"Economy Improved"
"Cote d'Ivoire",CIV,2015,0.30627361,NULL,"First Year (No Previous Data)"
"Cote d'Ivoire",CIV,2016,0.30773931,0.00146570,"Economy Improved"
"Cote d'Ivoire",CIV,2017,0.31053028,0.00279097,"Economy Improved"
